time,x,y
316.16,2.606,3.731
316.66,2.478,3.769
317.16,2.351,3.815
317.66,2.224,3.843
318.16,2.099,3.869
318.66,1.971,3.888
319.16,1.842,3.906
319.66,1.717,3.922
320.16,1.594,3.939
320.66,1.465,3.955
321.16,1.354,3.966
321.66,1.212,3.985
322.16,1.114,3.995
322.66,0.986,4.012
323.16,0.843,4.025
323.66,0.711,4.036
324.16,0.571,4.049
324.66,0.468,4.06
325.16,0.339,4.074
325.66,0.183,4.091
326.16,0.08,4.101
326.66,-0.049,4.117
327.16,-0.199,4.137
327.66,-0.306,4.154
328.16,-0.436,4.168
328.66,-0.567,4.183
329.16,-0.694,4.197
329.66,-0.823,4.214
330.16,-0.952,4.226
330.66,-1.082,4.237
331.16,-1.211,4.251
331.66,-1.34,4.267
332.16,-1.443,4.281
332.66,-1.598,4.301
333.16,-1.727,4.315
333.66,-1.856,4.331
334.16,-1.983,4.345
334.66,-2.114,4.361
335.16,-2.217,4.375
335.66,-2.347,4.389
336.16,-2.499,4.41
336.66,-2.622,4.428
337.16,-2.732,4.448
337.66,-2.85,4.472
338.16,-2.987,4.497
338.66,-3.116,4.519
341.99,-3.216,4.534
342.16,-3.267,4.541
342.66,-3.399,4.557
343.16,-3.483,4.568
343.66,-3.587,4.579
344.16,-3.588,4.576
344.66,-3.588,4.576
345.16,-3.588,4.576
345.66,-3.579,4.586
346.16,-3.58,4.586
346.66,-3.581,4.585
347.16,-3.576,4.583
347.66,-3.577,4.583
348.16,-3.594,4.575
348.66,-3.595,4.574
349.16,-3.59,4.569
349.66,-3.59,4.579
350.16,-3.591,4.578
350.66,-3.592,4.578
351.16,-3.593,4.587
351.66,-3.593,4.587
352.16,-3.593,4.586
352.66,-3.593,4.586
353.16,-3.593,4.586
353.66,-3.593,4.588
354.16,-3.603,4.588
354.66,-3.603,4.588
355.16,-3.603,4.588
355.66,-3.603,4.588
356.16,-3.602,4.587
356.66,-3.603,4.578
357.16,-3.603,4.578
357.66,-3.603,4.578
358.16,-3.603,4.578
358.66,-3.603,4.578
359.16,-3.603,4.578
359.66,-3.603,4.578
360.16,-3.603,4.577
360.66,-3.603,4.577
361.16,-3.603,4.578
361.66,-3.593,4.567
362.16,-3.593,4.568
362.66,-3.593,4.568
363.16,-3.593,4.568
363.66,-3.593,4.577
364.16,-3.593,4.578
364.66,-3.592,4.577
365.16,-3.593,4.577
365.66,-3.593,4.577
366.16,-3.593,4.577
366.66,-3.593,4.587
367.16,-3.593,4.587
367.66,-3.593,4.588
368.16,-3.593,4.588
368.66,-3.593,4.587
369.16,-3.593,4.587
369.66,-3.603,4.588
370.16,-3.603,4.587
370.66,-3.602,4.586
371.16,-3.602,4.586
371.66,-3.602,4.586
372.16,-3.602,4.586
372.66,-3.602,4.586
373.16,-3.602,4.586
373.66,-3.602,4.586
374.16,-3.602,4.586
377.17,-3.602,4.586
377.66,-3.602,4.586
